m/z,z,I,Res.
53.76075,,788418,713806
53.761,,591396,791392
53.76125,,682140,594594
53.76158,,512610,904443
53.76172,,528509,1192155
53.76219,,507430,486968
53.76304,,674116,404844
53.76408,,599917,713167
53.76422,,551235,979403
53.76569,,449635,1416374
53.76662,,422266,1494425
53.76758,,468029,697984
53.76779,,587538,565399
53.76785,,633869,599033
53.76809,,415208,1421771
53.76831,,470206,740923
53.76933,,589609,823982
53.77054,,548623,432555
53.77062,,514290,671847
53.77093,,633527,626191
53.77136,,626871,735507
53.77159,,561996,1159163
53.77174,,399779,2006313
53.77303,,398608,2417535
53.77327,,445062,1155032
53.77357,,654450,637710
53.77394,,871591,622866
53.77423,,632970,668602
53.7744,,626047,540989
53.77458,,477444,644799
53.77467,,513973,395669
53.77513,,657889,791037
53.77602,,657174,551455
53.7764,,694931,372308
53.77676,,468671,1081927
53.77682,,447582,1029177
53.777,,626012,848885
53.77735,,759166,610105
53.77755,,515254,805693
53.77796,,625468,968546
53.77875,,874334,573578
53.77887,,576346,585123
53.7791,,593419,1024055
53.77929,,433065,1949995
53.7798,,587009,909601
53.78047,,562105,967550
53.78085,,647299,627775
53.78101,,642570,1014055
53.78114,,550023,880561
53.78141,,532247,660402
53.7824,,499156,603828
53.78254,,509598,1270582
53.78414,,499002,1363886
53.78481,,415188,2084743
53.78495,,486790,1298836
53.78585,,803896,629556
53.78601,,533988,426426
53.78632,,442174,2104880
53.78677,,562075,543820
53.78752,,871698,647053
53.78794,,552765,431776
53.78853,,459754,1606866
53.78864,,424620,2471945
53.78954,,753676,501684
53.78983,,507533,995701
53.78993,,445758,1004068
53.79035,,642654,563745
53.79051,,437227,2285389
53.79078,,492649,1245606
53.7911,,482837,734754
53.79122,,644089,670393
53.79162,,471964,1411999
53.79184,,519624,1151060
53.79196,,496392,1009971
53.79218,,450391,1370092
53.79258,,627438,656277
53.79302,,578601,610591
53.79353,,436775,1096939
53.79554,,413988,664292
53.79565,,464618,607946
53.79589,,432658,2147910
53.79656,,507508,1138981
53.79691,,507388,712493
53.79707,,585035,588086
53.7973,,471600,1219535
53.79787,,719403,635036
53.79823,,537317,590800
53.79866,,619871,689603
53.79894,,655532,682166
53.79958,,731694,715928
53.80068,,507378,473690
53.80102,,877936,679987
53.80152,,472733,776372
53.80159,,488032,576247
53.80191,,757683,958075
53.803,,750800,614325
53.80338,,743286,895031
53.80452,,561118,1215377
53.80509,,611788,1010811
53.80553,,546907,1031717
53.80568,,719382,667328
53.8059,,566684,605693
53.8061,,761180,800417
53.80646,,476082,1499860
53.80708,,522474,999008
53.80723,,655250,881820
53.80739,,426840,1762338
53.80765,,547810,1303896
53.80791,,481119,1168583
53.80846,,458863,1434776
53.80861,,632489,852677
53.80942,,551504,885196
53.80957,,567152,1004775
53.81017,,498283,1400446
53.81028,,562278,1300616
53.81068,,444307,1740863
53.81117,,457725,1325857
53.81147,,533859,720940
53.81168,,502724,766597
53.81184,,524192,1023459
53.81271,,615723,907713
53.81302,,605052,837248
53.81316,,664068,456417
53.8134,,671617,648082
53.81374,,423794,1861318
53.81441,,739290,674531
53.8145,,422847,2049729
53.81531,,777591,785860
53.81566,,595192,1062607
53.81623,,588672,1027931
53.81643,,686890,694475
53.81663,,715026,678635
53.81708,,687859,708479
53.81734,,497632,1323130
53.8175,,423865,2138243
53.8179,,484112,1122782
53.81836,,430442,1284463
53.81846,,460424,1185662
53.8186,,442031,890015
53.81896,,456918,1467377
53.81958,,564110,952806
53.82011,,607398,638266
53.82082,,524303,1227873
53.82252,,604727,756028
53.82275,,822272,397999
53.82289,,580797,521160
53.82312,,523465,1009906
53.8234,,591876,1052708
53.82393,,545791,1110130
53.82467,,700273,490038
53.8248,,700974,568724
53.82496,,637149,1080057
53.82517,,720278,377365
53.82534,,444314,1562479
53.82551,,496774,954576
53.8258,,600153,914290
53.82588,,612884,982606
53.82677,,436553,1669819
53.8275,,714350,491419
53.8277,,614249,527738
53.82924,,565683,643253
53.83007,,720484,683067
53.83021,,577087,945504
53.83081,,507803,561942
53.83161,,520382,850681
53.83173,,506474,1246818
53.83233,,606782,981043
53.83245,,432750,2336203
53.83264,,613594,820562
53.8339,,744511,462473
53.83467,,550980,972739
53.83477,,447072,1503484
53.83511,,526161,1049175
53.83528,,419242,2247743
53.83544,,430190,1720078
53.83592,,561407,1298187
53.83618,,477339,486347
53.83626,,432955,793743
53.83641,,580066,641121
53.83715,,666613,779075
53.83775,,632920,607351
53.83796,,639266,612173
53.83805,,740474,515673
53.83884,,580148,895820
53.83911,,621848,954412
