m/z,z,I,Res.
53.77809,,1189673,1157898
53.78582,,1296961,949566
53.79091,,1329388,1376997
53.80821,,1256587,1646128
53.8215,,1190686,1221230
53.82591,,1247174,1239370
53.84744,,1180475,860318
53.85123,,1132577,1400193
53.88405,,1173422,1442943
53.8972,,1177235,660682
53.90214,,1136659,1518984
53.90697,,1175181,1446930
53.90888,,1149264,1108899
53.91713,,1518411,1208899
53.92663,,1153770,1224825
53.93288,,1208816,762265
53.93295,,1132653,873405
53.94689,,1212471,1231784
53.95071,,1225348,1630443
53.96179,,23828178,1041896
53.96188,,5150109,1604259
53.96193,,48333504,1030320
53.96207,,4113354,1209588
53.98131,,1257061,1023651
53.98207,,1185381,1300982
53.98362,,1205811,1444532
53.99412,,1325252,1115087
53.99702,,1236905,978187
54.00168,,1266555,1482559
54.00433,,1132824,967378
54.01557,,1312025,1194659
54.0291,,1181739,971339
54.03514,,1221128,1067398
54.04895,,1347874,927571
54.06086,,1302739,1070874
54.06153,,1177132,1081263
54.07016,,1156271,975146
54.07131,,1154058,1175299
54.07257,,1151521,1449379
54.07796,,1322422,1247075
54.08007,,1505322,1140043
54.08228,,1171442,1402626
54.08441,,1162701,1199661
54.10016,,1157545,1482561
54.11732,,1153692,1127496
54.12132,,1148268,1330015
54.12483,,1150760,885353
54.13252,,1199342,945605
54.15183,,1346893,1410448
54.15308,,1212918,1275874
54.15968,,1220591,993857
54.16063,,1174967,935666
54.16445,,1251645,964970
54.1705,,1176657,1175040
54.1754,,1274282,892779
54.17905,,1160391,1391152
54.19783,,1160538,856045
54.2058,,1350944,1403496
54.21187,,6631072,945113
54.21201,,7347377,767386
54.21993,,1152800,1455875
54.22151,,1155524,932683
54.22295,,1136102,744566
54.22446,,1151541,1159556
54.2415,,1203355,916521
54.24209,,1136913,1142360
54.24266,,1424664,1059288
54.27421,,1160223,1342705
54.27952,,1189468,744832
54.28045,,1163586,876844
54.28095,,1474647,847738
54.28468,,1370478,1398802
54.28476,,1167010,1259407
54.28759,,1193438,1332991
54.29412,,1238276,1214448
54.29829,,1489309,1079663
54.30191,,1143836,1242225
54.30532,,1162372,868162
54.31039,,1147261,1093960
54.31704,,1194610,1242175
54.31938,,1352929,1294091
54.31952,,1252631,596243
54.32025,,1142920,1145997
54.3211,,1258071,1616394
54.32326,,1227264,1275033
54.32475,,1153808,1271435
54.32638,,1246038,1349882
54.33775,,1320169,1124903
54.34188,,1144251,1483125
54.34333,,1159978,1069538
54.34945,,1230647,1170596
54.3508,,1211895,1362209
54.3565,,1230355,1375465
54.36816,,1317868,1232686
54.3752,,1210554,1193822
54.37568,,1364737,865726
54.38813,,1233045,1303627
